ID	C1	C2	C3	E1	E2	E3	F1	F2	F3
C10orf131	0.070073	0.063088	0.000000	0.186348	0.278438	0.114229	0.075265	0.059720	0.000000
C10orf142	0.000000	0.000000	0.000000	0.000000	0.075263	0.000000	0.000000	0.000000	0.000000
C10orf2	20.933300	24.204400	21.028400	16.598600	14.926500	15.264100	22.241800	22.899900	26.187800
C10orf25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C10orf32	3.917260	3.377450	4.088880	3.907720	3.873990	3.576510	3.445720	2.880070	3.042590
C10orf32-ASMT	0.000126	0.000051	0.000300	0.099121	0.000000	0.000041	0.789103	0.016384	0.000057
C10orf35	8.468300	9.899860	7.639820	13.974000	12.413400	14.183700	9.765980	8.891700	10.386100
C10orf53	0.000000	0.000000	0.000000	0.000000	0.115780	0.000000	0.000000	0.000000	0.000000
C10orf54	4.333870	5.322090	5.651380	3.481320	3.130540	3.685050	5.629540	6.535590	7.244240
C10orf55	0.427457	0.173540	0.270709	0.505653	0.114442	0.248365	0.318876	0.272538	0.437525
C10orf62	0.000000	0.000000	0.000000	0.000000	0.000000	0.053092	0.139922	0.000000	0.000000
C10orf67	0.000000	0.000000	0.000000	0.020420	0.000000	0.000000	0.000000	0.039632	0.022569
C10orf71	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010508	0.000000
C10orf71-AS1	0.000000	0.000000	0.000000	0.139797	0.000000	0.000000	0.000000	0.000000	0.000000
C10orf76	7.267210	7.204570	6.316840	6.580280	5.414160	6.439510	6.815500	6.270850	6.662540
C10orf82	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C10orf88	3.984650	4.342770	3.669100	4.820850	4.981550	4.893760	3.926110	3.401470	3.530800
C10orf90	2.524130	2.513290	2.505890	1.436320	1.796120	1.437680	2.371080	2.336150	2.080930
C10orf91	1.270790	1.521690	2.375010	0.125738	0.139376	1.029560	2.406610	1.667310	2.078760
C10orf95	0.576688	0.566722	1.022520	0.603204	0.416989	0.812611	0.563790	1.253180	0.512479
C10orf99	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C11orf1	3.871290	5.831300	3.307380	3.996570	4.999930	3.956550	4.341610	3.672250	3.704570
C11orf16	0.075233	0.000000	0.157677	0.033295	0.074970	0.092269	0.081122	0.128854	0.036786
C11orf21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C11orf24	35.003500	37.650600	36.528400	34.269100	36.930500	40.385800	36.693600	38.981300	45.312200
C11orf30	7.111260	7.195770	6.795490	5.381800	6.485910	5.497690	6.419320	6.619500	5.061120
C11orf31	22.075600	18.656300	20.628600	11.642100	9.319500	10.514800	21.216700	18.995600	22.995000
C11orf39	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C11orf40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C11orf42	0.072801	0.393169	0.076372	0.258279	0.289248	0.356028	0.390872	0.310105	0.071281
C11orf44	0.000000	0.000000	0.019674	0.000000	0.018752	0.030770	0.020301	0.016132	0.036718
C11orf45	1.959330	1.883990	1.747780	1.092480	0.878301	0.944490	2.018030	1.968170	1.751560
C11orf49	22.357700	23.225900	20.156500	21.277100	18.834000	21.186100	24.375900	23.185300	28.577400
C11orf52	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C11orf53	0.202647	0.668929	0.141703	0.059894	0.067128	0.000000	0.072580	0.172775	0.132254
C11orf54	3.871890	3.375530	3.897320	5.716120	5.999650	5.764480	3.804520	3.165050	3.209870
C11orf57	12.880900	13.315600	14.511800	15.237100	12.958600	13.342100	12.468000	12.446100	8.878410
C11orf58	53.822200	50.299200	56.538700	48.708800	47.914600	44.631800	49.044200	46.847400	38.831500
C11orf63	1.534220	1.647870	1.107540	2.628630	1.646520	1.398860	1.178040	1.590850	1.407830
C11orf65	0.083830	0.226285	0.087972	0.223200	0.415916	0.409567	0.179803	0.142603	0.082112
C11orf68	20.701300	20.331200	24.553300	33.745100	28.661300	36.338700	19.771800	18.905300	24.962000
C11orf70	0.000000	0.000000	0.033723	0.000000	0.032090	0.052658	0.034728	0.027585	0.000000
C11orf71	3.808400	3.795530	4.334710	3.259400	4.197790	2.852440	4.559220	5.158200	5.534720
C11orf72	0.000000	0.000000	0.000000	0.050701	0.028579	0.000000	0.000000	0.000000	0.000000
C11orf73	43.389100	44.167900	39.719700	30.184400	35.038500	30.074400	46.313100	38.670900	38.629200
C11orf74	13.265300	9.378150	10.474100	15.308700	17.631400	16.302400	10.302700	8.219000	6.325270
C11orf80	7.780680	6.073930	7.121770	4.549660	4.032100	5.202920	5.464030	5.979530	9.045510
C11orf84	34.000700	36.821500	37.064300	42.381700	35.957300	41.809400	37.089800	39.067600	53.189000
C11orf85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C11orf86	26.341000	30.139700	31.920200	4.118400	3.168260	4.238790	30.977700	30.664900	41.193100
C11orf87	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C11orf88	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C11orf91	0.102113	0.091824	0.214438	0.000000	0.000000	0.249044	0.218549	0.259859	0.100085
C11orf94	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C11orf95	10.003800	11.041700	10.825200	12.206300	10.592200	12.500800	11.132100	11.724700	13.426800
C11orf96	0.715324	0.644148	0.750111	4.701880	3.853330	6.031830	0.705208	0.814121	0.933431
C11orf97	0.000000	0.000000	0.000000	0.000000	0.201041	0.000000	0.433237	0.000000	0.000000
C11orf98	52.928400	48.307200	61.206800	49.220800	47.821800	55.317200	58.415600	57.465900	74.327300
C12orf10	54.427000	61.249200	56.665000	39.818100	36.504300	44.494200	56.539500	58.752200	83.660700
C12orf29	9.086800	8.190020	9.042120	10.162300	11.175200	8.813380	8.668960	7.832950	5.590660
C12orf4	9.453400	7.829800	8.017030	6.616300	7.523950	5.541040	6.663940	7.296360	4.485190
C12orf40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C12orf42	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C12orf43	14.431800	15.848100	16.475300	12.099000	12.154600	13.277400	15.301100	16.686300	17.327100
C12orf45	28.585800	36.018500	29.695900	29.503200	28.844900	28.819400	31.088900	37.837900	36.467300
C12orf49	17.496700	17.459000	17.628700	24.986800	22.833200	25.896800	20.737100	18.586900	20.756200
C12orf50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C12orf54	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C12orf56	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C12orf57	152.818000	159.714000	146.573000	183.116000	162.672000	189.442000	148.281000	141.734000	207.083000
C12orf60	2.006410	2.340970	1.793100	2.372970	2.583090	1.937970	2.313700	1.329180	0.727646
C12orf65	21.526600	24.844000	23.112800	23.347000	21.758800	23.321100	25.843000	20.878700	19.819500
C12orf66	5.039300	5.277110	5.176020	7.763290	7.133600	7.630390	5.264410	5.259070	5.150050
C12orf71	0.000000	0.000000	0.000000	0.082004	0.091568	0.000000	0.000000	0.000000	0.000000
C12orf73	4.127800	3.639880	3.682090	4.588120	4.154740	4.593170	4.069070	3.043190	2.877850
C12orf74	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C12orf75	46.896700	48.599400	44.051800	31.371700	29.097600	27.722200	45.626900	42.791100	41.394100
C12orf76	2.412280	1.772540	1.905600	2.397870	3.069680	2.366910	2.401150	1.684530	1.342810
C12orf77	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C12orf79	0.066673	0.030032	0.104804	0.056693	0.000000	0.000000	0.107909	0.028546	0.000000
C12orf80	0.000000	0.000000	0.064798	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C14orf1	31.048400	35.883300	32.755100	33.402700	32.184100	35.156500	39.119500	37.345300	43.655900
C14orf105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021339
C14orf119	30.063100	31.431300	32.891500	28.198900	29.906300	29.032100	33.693100	31.661400	28.279700
C14orf132	1.557060	1.290860	1.454990	0.852976	0.853319	0.420426	1.218540	1.408710	1.747560
C14orf142	14.777600	15.004900	14.178900	16.582800	13.429800	12.790600	13.767200	14.624100	11.862500
C14orf159	16.080300	17.003100	17.693500	12.524000	12.004500	13.332800	16.502300	17.417600	19.798500
C14orf166	257.922000	263.960000	235.971000	190.771000	192.735000	183.876000	213.139000	221.320000	174.902000
C14orf169	12.031900	11.074600	11.099400	11.217200	10.314100	12.082500	12.896900	12.057900	15.453800
C14orf177	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C14orf178	0.186397	0.000000	0.196219	0.000000	0.183261	0.000000	0.000000	0.000000	0.000000
C14orf180	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C14orf2	166.553000	156.322000	134.341000	147.158000	112.766000	120.433000	171.702000	153.975000	171.602000
C14orf28	0.585460	0.971221	0.662310	1.076970	1.635700	1.648760	0.505876	0.482324	0.480695
C14orf37	0.065799	0.059326	0.022973	0.930997	0.984969	1.131360	0.142163	0.056479	0.042875
C14orf39	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C14orf79	6.190160	5.058430	5.076770	8.031780	6.551180	8.550010	6.466750	6.683080	7.632940
C14orf80	22.186400	22.241300	22.716100	11.877300	10.224200	12.576500	24.623600	24.722600	32.339200
C14orf93	2.680960	3.660580	3.205290	3.157590	3.420790	3.034500	2.787720	2.600320	3.271190
C15orf26	0.239996	0.000000	0.000000	0.085021	0.000000	0.039209	0.051693	0.041042	0.000000
C15orf27	0.465499	0.419605	0.243840	0.308864	0.029015	0.119029	0.314025	0.274409	0.398204
C15orf32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C15orf38-AP3S2	3.722430	3.379540	2.779120	3.129310	3.919450	4.311330	4.319190	4.136070	4.274470
C15orf39	28.733600	32.161400	33.446600	27.148700	23.043400	26.579000	33.797600	35.225800	45.399700
